coef,est,se,type,intVar,coefNum
logSHELDUSDmgPC,-5.273394846804743,20.297465190701985,Out,SVI,NA
logSHELDUSDmgPC,27.41803266893205,26.768399712790103,Out,SVI,2
logSHELDUSDmgPC,66.06301285609521,26.446368654693103,Out,SVI,3
logSHELDUSDmgPC,183.26937945376136,25.902891274695264,Out,SVI,4
logSHELDUSDmgPC,9.095416221275615,25.850584964728146,Out,SVI,5
logSHELDUSDmgPC,-1.1976338851110782,10.414945899893013,In,SVI,NA
logSHELDUSDmgPC,14.910669550849523,13.759880906565748,In,SVI,2
logSHELDUSDmgPC,52.89166822766668,13.597589069581153,In,SVI,3
logSHELDUSDmgPC,0.6584921144424134,13.326467656872696,In,SVI,4
logSHELDUSDmgPC,9.076348982862623,13.278081385620553,In,SVI,5
logSHELDUSDmgPC,163.46626010780665,16.873906569303276,Out,pctWhite,NA
logSHELDUSDmgPC,-129.19904877484845,23.994351051685697,Out,pctWhite,2
logSHELDUSDmgPC,-131.81290240536228,24.08110597447255,Out,pctWhite,3
logSHELDUSDmgPC,-116.83565424826601,24.06320915177511,Out,pctWhite,4
logSHELDUSDmgPC,-171.69290508910206,24.66172316619816,Out,pctWhite,5
logSHELDUSDmgPC,7.072854535679825,8.641374950400666,In,pctWhite,NA
logSHELDUSDmgPC,44.221365936539684,12.3217913082936,In,pctWhite,2
logSHELDUSDmgPC,-6.998996692828614,12.362932237477438,In,pctWhite,3
logSHELDUSDmgPC,13.840311366992557,12.353133795012823,In,pctWhite,4
logSHELDUSDmgPC,-13.035910409049455,12.655891640110196,In,pctWhite,5
logSHELDUSDmgPC,-8.31193752351043,18.759735568974207,Out,pctBlack,NA
logSHELDUSDmgPC,55.01438810953445,25.37714827061741,Out,pctBlack,2
logSHELDUSDmgPC,4.73059806794363,25.499982733305327,Out,pctBlack,3
logSHELDUSDmgPC,72.86109128732663,25.21462661355067,Out,pctBlack,4
logSHELDUSDmgPC,171.12048328972293,24.966371313310994,Out,pctBlack,5
logSHELDUSDmgPC,-6.802557468739969,9.649500097503612,In,pctBlack,NA
logSHELDUSDmgPC,27.21080291427148,13.064151778439319,In,pctBlack,2
logSHELDUSDmgPC,35.864159492089215,13.132720663185653,In,pctBlack,3
logSHELDUSDmgPC,32.65157662007621,12.986373991428179,In,pctBlack,4
logSHELDUSDmgPC,11.150005538599585,12.824498718448266,In,pctBlack,5
