coef,est,se,type,naive,coefNum
damageQuants,14.02915929718644,26.538518793781996,In,TRUE,2
damageQuants,82.08816217623101,27.302717414749765,In,TRUE,3
damageQuants,32.137884583948015,31.911908335073964,In,TRUE,4
damageQuants,99.54604487428837,47.31552318947779,In,TRUE,5
damageQuants,387.1615646108164,48.21568365047899,In,TRUE,6
NFIPQuants,-11.180104354890878,28.532082230523077,In,TRUE,2
NFIPQuants,9.464519456804014,29.57637109860467,In,TRUE,3
NFIPQuants,93.96414845366327,34.665030613498054,In,TRUE,4
NFIPQuants,26.891657544753087,49.82361611842893,In,TRUE,5
NFIPQuants,156.5852394978445,50.68545746543525,In,TRUE,6
assistanceQuants,-44.63455750766588,76.6420022853584,In,TRUE,2
assistanceQuants,-13.622660566671629,79.75213998154376,In,TRUE,3
assistanceQuants,246.64592499614818,93.73656977494421,In,TRUE,4
assistanceQuants,75.55756648693884,145.15635806042832,In,TRUE,5
assistanceQuants,816.199133534836,146.33349216925393,In,TRUE,6
popQuants,-4.1125049944723635,41.33190244117425,In,TRUE,2
popQuants,0.3103421149039674,43.37163764198873,In,TRUE,3
popQuants,84.20388082905312,43.75983598096213,In,TRUE,4
popQuants,71.92957826163659,44.59272917754999,In,TRUE,5
densityQuants,3.790911023083853,40.468084418348944,In,TRUE,2
densityQuants,-4.115574511839045,42.556810122791596,In,TRUE,3
densityQuants,34.32661998816905,43.382252716862155,In,TRUE,4
densityQuants,145.96984575567936,44.30228838156599,In,TRUE,5
pctBlackQuants,26.501835031982182,41.601540502479,In,TRUE,2
pctBlackQuants,83.64421073132692,43.130455754455475,In,TRUE,3
pctBlackQuants,41.503817001047935,43.65456850981183,In,TRUE,4
pctBlackQuants,66.51017708391974,44.78638083546287,In,TRUE,5
pctOldQuants,-3.4700381427252722,35.854197139447656,In,TRUE,2
pctOldQuants,-41.51121204301987,37.71066055933872,In,TRUE,3
pctOldQuants,-56.36327322117195,39.55271154458668,In,TRUE,4
pctOldQuants,-10.642468956746583,42.660961970717636,In,TRUE,5
pctWhiteQuants,64.8855627905226,41.917398122106825,In,TRUE,2
pctWhiteQuants,-13.84811808318915,42.753354688768084,In,TRUE,3
pctWhiteQuants,-12.18075957455571,43.137507909505004,In,TRUE,4
pctWhiteQuants,-41.29668162374399,44.48591554599213,In,TRUE,5
SVIQuants,11.393661650708337,46.37737318640757,In,TRUE,2
SVIQuants,111.83303042147227,46.37737318640756,In,TRUE,3
SVIQuants,-0.1035698000115004,46.37737318640756,In,TRUE,4
SVIQuants,35.17217770829414,46.37737318640757,In,TRUE,5
damageQuants,20.893490377597992,46.89094810221595,Out,TRUE,2
damageQuants,52.46175654686552,47.9078931034736,Out,TRUE,3
damageQuants,-10.589098659257237,55.79997928769502,Out,TRUE,4
damageQuants,-100.84701743446321,82.99390975723826,Out,TRUE,5
damageQuants,694.2373257329828,84.12589233258123,Out,TRUE,6
NFIPQuants,-2.263020903765752,49.58488815633317,Out,TRUE,2
NFIPQuants,11.28236913107142,50.90402228225001,Out,TRUE,3
NFIPQuants,15.83277578059004,59.363199047847125,Out,TRUE,4
NFIPQuants,-82.8432024392922,86.1595899738445,Out,TRUE,5
NFIPQuants,451.8155286060357,87.30840586851886,Out,TRUE,6
assistanceQuants,-26.458813861401698,141.62909418245835,Out,TRUE,2
assistanceQuants,-37.65510319157986,145.21432291465916,Out,TRUE,3
assistanceQuants,-178.44759032632322,169.28557151947078,Out,TRUE,4
assistanceQuants,515.7018214460843,257.62044038354105,Out,TRUE,5
assistanceQuants,1794.4174395733642,258.88901711636333,Out,TRUE,6
popQuants,-4.231727887699251,65.28021961797914,Out,TRUE,2
popQuants,16.531555325397395,67.1320904337056,Out,TRUE,3
popQuants,27.415895640950673,67.41754916577803,Out,TRUE,4
popQuants,130.36271365559023,68.16417914693271,Out,TRUE,5
densityQuants,0.6061297516014615,64.74927391898821,Out,TRUE,2
densityQuants,6.721773737908243,66.73496295421648,Out,TRUE,3
densityQuants,8.069113639470693,67.47875860875848,Out,TRUE,4
densityQuants,161.1432336997656,68.30002326760514,Out,TRUE,5
pctBlackQuants,39.93751553345983,65.63175905172608,Out,TRUE,2
pctBlackQuants,0.12864915577410754,66.98425182244162,Out,TRUE,3
pctBlackQuants,84.20826068108985,67.42850154279161,Out,TRUE,4
pctBlackQuants,106.6572556001542,68.44027420896987,Out,TRUE,5
pctOldQuants,103.89461398931809,59.629639268824654,Out,TRUE,2
pctOldQuants,102.59808174800024,61.47891817180238,Out,TRUE,3
pctOldQuants,19.492051539223155,63.41792521954558,Out,TRUE,4
pctOldQuants,32.82772568258099,66.49891988894532,Out,TRUE,5
pctWhiteQuants,-47.36919773018743,65.82727875428489,Out,TRUE,2
pctWhiteQuants,-63.265870290648984,66.52919264835643,Out,TRUE,3
pctWhiteQuants,-58.52984538819956,66.83138185520521,Out,TRUE,4
pctWhiteQuants,-99.0711648822134,68.10773758071241,Out,TRUE,5
SVIQuants,3.7802977004750518,70.04919976692338,Out,TRUE,2
SVIQuants,22.530851410331064,70.0491997669234,Out,TRUE,3
SVIQuants,-12.906302521008874,70.04919976692338,Out,TRUE,4
SVIQuants,94.58428441143866,70.0491997669234,Out,TRUE,5
damageQuants,22.50792545394151,69.11861081354421,Out,FALSE,2
damageQuants,10.973551131810012,87.74691665524301,Out,FALSE,3
damageQuants,-67.48103861191272,101.9304954703769,Out,FALSE,4
damageQuants,-215.32629017744213,332.8007877649299,Out,FALSE,5
damageQuants,584.6383941097187,179.78758529248867,Out,FALSE,6
NFIPQuants,5.2266866174916,69.05828398630877,Out,FALSE,2
NFIPQuants,8.411158505297973,77.32903673988959,Out,FALSE,3
NFIPQuants,-12.063353367996399,115.67199475987367,Out,FALSE,4
NFIPQuants,-246.92395209492983,293.50022730130263,Out,FALSE,5
